Sector,#,Name,Lat-Long,2023,2022,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,,,,,,,,,,,,,
Southwest,112,SW Hamilton & SW 45th,"45.49065770172646, -122.72321827425931",55,15,50,35,25,25,35,40,35,50,45,30,80,50, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,113,SW Terwilliger & Taylors Ferry Rd,"45.46307049658984, -122.68495390309609",360,145,240,325,535,400,330,430,425,555,415,430,275,580, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
South,114,S Palatine Hill & Riverview Cemetary,"45.45544195916413, -122.67473305675757",385,480, - ,380,340,465,420,390, - ,485,475,560,420, - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,115,SW Barbur & Terwilliger,"45.471175013952596, -122.68550018590683",490,545,585,440,590,670,720,810,770,775,950,"1,020",895, - , - ,570, - , - ,350, - ,175,355,,,,,,,,,,,,,
Southwest,116,SW Bertha & Vermont,"45.47596591661232, -122.69659057426006",155,120, - ,45,180,145,155,90,150,180,350,245,175,135, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
South,117,S Corbett Ave & Nebraska St,"45.47724897929297, -122.67696230309531",90,60,85,55,105,85,70,75,70,110,105,115, - ,110, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,118,SW Arthur & 1st,"45.50368465732868, -122.67871449911837",200, - ,280,250,225,330,350,380,445,410,440,415,315,485, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
City Center,119,SW Broadway & Mill,"45.512677820758114, -122.68318977567098", - , - ,445,345,640,615,630,660,710,740,780,620,750,735, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,120,SW 18th & Trail south of Sunset Hwy,, - , - ,135,105,120,165,195,100,130,215,75,175, - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,121,SW Vista & Montgomery,"45.51576791770125, -122.69673959542281", - ,105, - ,165,170,115,150,120,185,145,150,120,85, - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northwest,122,NW Thurman & 24th,"45.53542217996943, -122.70087753192799", - , - , - ,425,355,420,455,560,575,490,515,635,680,660, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northwest,123,NW Lovejoy & 9th,"45.530061975671565, -122.68035034542217","2,135","1,520","1,900","1,910","2,000","2,785","2,970","3,050","2,525","2,090","2,160","1,530","2,095","2,325", - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
North,124,N Willis Blvd & Woolsey Ave,"45.58401533636339, -122.71345277425509",205,165,115,205,185,275,200,195,155,255, - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
North,125,N Bryant & Missouri,"45.57338293067513, -122.67749400309091",125,165,220,175,245,280,225,200,365,265,250, - , - ,190, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
North,126,N Union Path I-5 Ramp (to Hayden Island),, - , - , - , - , - , - ,690,415,660,580,610,545,465,510, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
North,127,N Failing & Missouri,"45.550810418602914, -122.67768180309197",170, - ,330,220,275,145,205,205,185,210,295,210,175,200, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,128,NE Multnomah & Wheeler,"45.530815318745375, -122.66582098590403","1,680", - ,"3,615","3,420","3,775","4,070","3,260","3,175","3,220","2,770","2,785","2,815","1,730","1,190", - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,129,NE Going & 9th,"45.55635343796097, -122.65665385767136","1,320",985,"2,130","1,975","2,085","2,095","1,910","1,990","1,835","1,720","1,585","1,040",490,515, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,130,NE Tillamook & 28th,"45.537123926137795, -122.63672843167774","1,080",760,"3,395","1,140","1,370","1,660","1,595","1,490","1,645","1,685","1,440","1,425","1,490", - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,131,NE Prescott St & Cully Blvd,"45.55543440842228, -122.60090186051241",200,180, - ,330,390,330,435,315,225,480,290, - ,180,360, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Northeast,132,NE Tillamook & 74th,"45.537228211216416, -122.58715407400632",505,360,405,510, - ,560,430,505,425,530,455,350,240,320, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
East,133,NE I-205 Path and Airport Way Overpass,,100, - , - ,195,295, - ,475, - ,345,455,585,355,510,445, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
Southwest,134,SW Troy & Capitol Hill Rd,"45.46824679853808, -122.6999636316811",70,25,70,40,70,30,75,70,65,60,80,75,90,110, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
East,135,NE Maywood Pl & I-205 Path,"45.54880613082242, -122.55925534517006",295,230,255,265,265,310,295,270,290,295,280,150,260,205, - , - , - , - , - , - , - , - ,,,,,,,,,,,,,
